Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
35,,466247.930,4312195.008,2454.641,,-105.38955340,38.95806353,2440.651,Global,0.011,0.010,0.011,0.015,2.134,m,FIX,2024-04-24 15:32:08.8 UTC-06:00,2024-04-24 15:32:11.8 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,151.354,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
36,,466247.771,4312195.159,2454.600,,-105.38955524,38.95806488,2440.610,Global,0.010,0.010,0.017,0.014,2.134,m,FIX,2024-04-24 15:32:29.2 UTC-06:00,2024-04-24 15:32:32.2 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,151.486,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
37,,466247.648,4312195.301,2454.593,,-105.38955667,38.95806616,2440.603,Global,0.011,0.010,0.021,0.015,2.134,m,FIX,2024-04-24 15:32:47.4 UTC-06:00,2024-04-24 15:32:50.4 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,151.612,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
38,,466247.492,4312195.454,2454.563,,-105.38955848,38.95806753,2440.572,Global,0.011,0.010,0.022,0.015,2.134,m,FIX,2024-04-24 15:33:04.6 UTC-06:00,2024-04-24 15:33:07.6 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,151.751,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
39,,466247.365,4312195.612,2454.569,,-105.38955995,38.95806895,2440.579,Global,0.010,0.011,0.016,0.015,2.134,m,FIX,2024-04-24 15:33:25.2 UTC-06:00,2024-04-24 15:33:28.2 UTC-06:00,16,1.3,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,151.891,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
40,,466247.261,4312195.783,2454.542,,-105.38956116,38.95807049,2440.551,Global,0.010,0.010,0.015,0.014,2.134,m,FIX,2024-04-24 15:33:43.2 UTC-06:00,2024-04-24 15:33:46.2 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,152.052,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
41,,466247.079,4312195.921,2454.516,,-105.38956326,38.95807172,2440.526,Global,0.011,0.010,0.013,0.015,2.134,m,FIX,2024-04-24 15:33:59.0 UTC-06:00,2024-04-24 15:34:02.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,152.172,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
42,,466246.925,4312196.023,2454.507,,-105.38956504,38.95807264,2440.516,Global,0.011,0.010,0.012,0.015,2.134,m,FIX,2024-04-24 15:34:15.8 UTC-06:00,2024-04-24 15:34:18.8 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,152.260,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
43,,466246.800,4312196.170,2454.535,,-105.38956649,38.95807396,2440.544,Global,0.012,0.010,0.028,0.016,2.134,m,FIX,2024-04-24 15:34:30.8 UTC-06:00,2024-04-24 15:34:33.8 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,152.391,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
44,,466246.611,4312196.300,2454.485,,-105.38956868,38.95807512,2440.494,Global,0.011,0.010,0.023,0.015,2.134,m,FIX,2024-04-24 15:34:53.8 UTC-06:00,2024-04-24 15:34:56.8 UTC-06:00,16,1.3,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,152.505,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
