,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
21,21,22,,466238.728,4311870.742,2456.1,,-105.3896436,38.95514114,2442.106,Global,0.01,0.012,0.013,0.016,2.134,m,FIX,2024-07-22 13:24:28.6 UTC-06:00,2024-07-22 13:24:31.6 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.251,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,4,6,5,0,4311870.16,466240.393,2454.102,POINT Z (466240.393 4311870.16 2454.102)
22,22,23,,466238.514,4311870.763,2456.104,,-105.3896461,38.95514132,2442.11,Global,0.011,0.011,0.015,0.016,2.134,m,FIX,2024-07-22 13:24:42.4 UTC-06:00,2024-07-22 13:24:45.4 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.216,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.181000001,466240.179,2454.1059999999998,POINT Z (466240.179 4311870.181000001 2454.1059999999998)
23,23,24,,466238.301,4311870.728,2456.124,,-105.3896485,38.955141,2442.13,Global,0.011,0.01,0.011,0.015,2.134,m,FIX,2024-07-22 13:25:00.8 UTC-06:00,2024-07-22 13:25:03.8 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.233,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.146000001,466239.96599999996,2454.1259999999997,POINT Z (466239.96599999996 4311870.146000001 2454.1259999999997)
24,24,25,,466238.13,4311870.781,2456.117,,-105.3896505,38.95514147,2442.124,Global,0.01,0.01,0.012,0.015,2.134,m,FIX,2024-07-22 13:25:13.8 UTC-06:00,2024-07-22 13:25:16.8 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.17,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,6,5,0,4311870.199000001,466239.795,2454.119,POINT Z (466239.795 4311870.199000001 2454.119)
25,25,26,,466237.92,4311870.776,2456.107,,-105.3896529,38.95514142,2442.113,Global,0.011,0.01,0.011,0.015,2.134,m,FIX,2024-07-22 13:25:28.6 UTC-06:00,2024-07-22 13:25:31.6 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.168,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.194,466239.58499999996,2454.109,POINT Z (466239.58499999996 4311870.194 2454.109)
26,26,27,,466237.753,4311870.739,2456.063,,-105.3896549,38.95514108,2442.069,Global,0.011,0.01,0.013,0.015,2.134,m,FIX,2024-07-22 13:25:39.0 UTC-06:00,2024-07-22 13:25:42.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.2,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,4,6,5,0,4311870.157000001,466239.418,2454.065,POINT Z (466239.418 4311870.157000001 2454.065)
27,27,28,,466237.529,4311870.776,2456.022,,-105.3896575,38.9551414,2442.029,Global,0.013,0.012,0.012,0.018,2.134,m,FIX,2024-07-22 13:25:52.6 UTC-06:00,2024-07-22 13:25:55.6 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.148,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.194,466239.19399999996,2454.024,POINT Z (466239.19399999996 4311870.194 2454.024)
28,28,29,,466237.325,4311870.799,2456.068,,-105.3896598,38.9551416,2442.075,Global,0.011,0.014,0.012,0.018,2.134,m,FIX,2024-07-22 13:26:04.8 UTC-06:00,2024-07-22 13:26:07.8 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.117,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,6,5,0,4311870.217,466238.99,2454.07,POINT Z (466238.99 4311870.217 2454.07)
29,29,30,,466237.109,4311870.804,2456.051,,-105.3896623,38.95514164,2442.057,Global,0.01,0.011,0.012,0.015,2.134,m,FIX,2024-07-22 13:26:16.8 UTC-06:00,2024-07-22 13:26:19.8 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.117,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,6,5,0,4311870.222,466238.774,2454.053,POINT Z (466238.774 4311870.222 2454.053)
30,30,31,,466236.928,4311870.788,2456.056,,-105.3896644,38.95514149,2442.062,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,2024-07-22 13:26:31.0 UTC-06:00,2024-07-22 13:26:34.0 UTC-06:00,16,1.6,1.9,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.125,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,4,6,5,0,4311870.206,466238.593,2454.058,POINT Z (466238.593 4311870.206 2454.058)
