point,easting,northing,elevationj,code
112,4328432.474,988347.338,2408.064,tr
113,4328432.332,988347.878,2408.092,tr
114,4328432.121,988348.477,2408.112,tr
115,4328432.119,988348.499,2408.115,tr
116,4328432.037,988348.828,2408.125,tr
117,4328431.898,988349.124,2408.138,tr
118,4328431.459,988350.145,2408.227,tr
119,4328431.342,988350.688,2408.243,tr
120,4328431.192,988351.381,2408.302,tr
121,4328430.975,988352.223,2408.314,tr
122,4328430.734,988352.835,2408.33,tr
123,4328430.433,988353.359,2408.343,tr
124,4328430.298,988354.14,2408.368,tr
125,4328430.081,988354.701,2408.417,tr
126,4328429.844,988355.261,2408.419,tr
127,4328429.235,988356.291,2408.491,tr
128,4328428.923,988356.9,2408.476,tr
129,4328428.502,988357.622,2408.538,tr
130,4328428.137,988358.409,2408.619,tr
131,4328427.802,988359.056,2408.626,tr
132,4328427.46,988359.612,2408.588,tr
133,4328427.115,988360.307,2408.653,tr
134,4328426.679,988361.293,2408.657,tr
135,4328426.418,988362.212,2408.733,tr
136,4328425.82,988363.285,2408.76,tr
137,4328425.518,988364.064,2408.805,tr
138,4328425.292,988364.836,2408.805,tr
139,4328425.568,988365.244,2408.772,tr
140,4328425.41,988365.786,2408.835,tr
141,4328425.207,988366.565,2408.795,tr
142,4328424.96,988367.437,2408.814,tr
143,4328424.761,988368.147,2408.799,tr
144,4328424.577,988368.839,2408.807,tr
145,4328424.361,988369.607,2408.821,tr
146,4328424.147,988370.376,2408.863,tr
147,4328423.938,988371.153,2408.813,tr
148,4328423.705,988372.071,2408.874,tr
149,4328423.399,988373.133,2408.874,tr
150,4328423.136,988374.002,2408.886,tr
151,4328422.833,988375.083,2408.935,tr
152,4328422.42,988376.572,2409.01,tr
153,4328422.169,988377.508,2409.054,tr
154,4328421.864,988378.574,2409.077,tr
155,4328421.524,988379.94,2409.123,tr
156,4328421.234,988380.923,2409.163,tr
157,4328420.951,988381.909,2409.219,tr
158,4328420.682,988382.844,2409.24,tr
159,4328420.404,988383.856,2409.29,tr
160,4328420.171,988384.677,2409.328,tr
161,4328419.964,988385.518,2409.327,tr
162,4328419.733,988386.22,2409.394,tr
163,4328419.497,988387.065,2409.448,tr
164,4328419.235,988388.06,2409.472,tr
165,4328418.944,988389.104,2409.489,tr
166,4328418.691,988390.108,2409.553,tr
167,4328418.426,988391.004,2409.607,tr
168,4328418.248,988391.646,2409.652,tr
169,4328418.002,988392.503,2409.727,tr
170,4328417.777,988393.386,2409.781,tr
171,4328417.61,988393.967,2409.674,tr
172,4328417.418,988394.664,2409.692,tr
173,4328417.332,988395.023,2409.809,tr
174,4328417.144,988395.725,2409.829,tr
175,4328416.914,988396.558,2409.804,tr
176,4328416.619,988397.719,2409.805,tr
177,4328416.423,988398.535,2409.823,tr
178,4328416.126,988399.618,2409.938,tr
179,4328415.904,988400.604,2409.99,tr
180,4328415.667,988401.511,2409.959,tr
181,4328415.457,988402.353,2410.017,tr
182,4328415.219,988403.409,2410.035,tr
183,4328414.974,988404.381,2410.058,tr
184,4328414.769,988405.159,2410.118,tr
185,4328414.551,988405.992,2410.173,tr
186,4328414.325,988406.916,2410.418,tr
187,4328414.097,988407.844,2410.583,tr
188,4328413.978,988408.516,2410.672,tr
189,4328413.731,988409.199,2410.749,tr
190,4328413.46,988410.107,2410.803,tr
191,4328413.158,988411.044,2410.862,tr
192,4328412.869,988411.934,2410.789,tr
193,4328412.659,988412.685,2410.723,tr
194,4328412.414,988413.446,2410.686,tr
195,4328412.195,988414.121,2410.615,tr
196,4328411.997,988414.829,2410.628,tr
197,4328411.806,988415.367,2410.68,tr
198,4328411.55,988416.101,2410.611,tr
199,4328411.345,988416.751,2410.577,tr
200,4328411.174,988417.356,2410.42,tr
201,4328411.061,988417.694,2410.417,tr
202,4328410.865,988418.242,2410.35,tr
203,4328410.669,988418.932,2410.347,tr
204,4328410.424,988419.677,2410.32,tr
205,4328410.239,988420.321,2410.437,tr
206,4328410.036,988421.01,2410.671,tr
207,4328409.845,988421.631,2410.759,tr
208,4328409.519,988422.778,2410.85,tr
209,4328409.332,988423.411,2410.864,tr
210,4328409.126,988424.089,2410.91,tr
211,4328408.877,988424.997,2410.925,tr
212,4328408.636,988425.751,2410.976,tr
213,4328408.45,988426.377,2411.016,tr
214,4328408.178,988427.209,2411.023,tr
215,4328407.781,988428.417,2411.098,tr
216,4328407.556,988429.078,2411.069,tr
217,4328407.303,988429.857,2411.066,tr
218,4328407.042,988430.711,2411.031,tr
219,4328406.823,988431.354,2411.015,tr
220,4328406.561,988432.17,2411.041,tr
221,4328406.313,988432.924,2411.091,tr
222,4328406.09,988433.647,2411.135,tr
223,4328405.876,988434.41,2411.222,tr
224,4328405.636,988435.152,2411.293,tr
225,4328405.401,988435.914,2411.308,tr
226,4328405.138,988436.724,2411.336,tr
227,4328404.923,988437.442,2411.324,tr
228,4328404.575,988438.51,2411.384,tr
229,4328404.357,988439.35,2411.451,tr
230,4328404.072,988440.152,2411.454,tr
231,4328403.775,988441.063,2411.547,tr
232,4328403.489,988441.974,2411.587,tr
233,4328403.175,988442.907,2411.642,tr
234,4328402.857,988443.901,2411.701,tr
235,4328402.547,988444.934,2411.776,tr
236,4328402.2,988446.079,2411.883,tr
237,4328401.906,988446.978,2411.959,tr
238,4328401.628,988447.843,2412.005,tr
239,4328401.227,988448.985,2412.085,tr
240,4328400.865,988449.99,2412.078,tr
241,4328400.582,988450.915,2412.079,tr
242,4328400.363,988451.736,2412.064,tr
243,4328400.009,988452.928,2412.101,tr
244,4328399.692,988453.962,2412.222,tr
245,4328399.337,988455.104,2412.309,tr
246,4328398.983,988455.984,2412.373,tr
247,4328398.588,988456.961,2412.432,tr
248,4328398.173,988457.917,2412.54,tr
249,4328397.771,988459.01,2412.624,tr
250,4328397.383,988460.121,2412.668,tr
251,4328397.031,988461.108,2412.667,tr
252,4328396.727,988461.888,2412.653,tr
253,4328396.412,988462.711,2412.562,tr
254,4328396.082,988463.651,2412.504,tr
255,4328395.838,988464.389,2412.524,tr
256,4328395.563,988465.146,2412.592,tr
257,4328395.248,988465.926,2412.709,tr
258,4328394.917,988466.783,2412.828,tr
259,4328394.56,988467.673,2412.962,tr
260,4328394.171,988468.634,2413.006,tr
261,4328393.895,988469.366,2413.105,tr
262,4328393.624,988470.033,2413.173,tr
263,4328393.385,988470.805,2413.235,tr
264,4328392.934,988471.733,2413.424,tr
265,4328392.683,988472.358,2413.546,tr
266,4328392.066,988474.688,2413.935,tr
new_sb_dn_3,4328391.763,988475.06,2414.053,ctl_new
new_sb_dn_2,4328327.848,988266.694,2410.608,ctl_new
267,4328332.012,988264.738,2409.134,tr
268,4328331.43,988264.976,2409.153,tr
269,4328330.887,988265.309,2409.286,tr
270,4328330.255,988265.597,2409.413,tr
271,4328329.844,988265.764,2409.527,tr
272,4328329.492,988265.942,2409.764,tr
273,4328329.067,988266.148,2409.943,tr
274,4328328.712,988266.341,2410.171,tr
275,4328328.338,988266.481,2410.321,tr
276,4328332.22,988264.67,2409.109,tr
277,4328332.656,988264.453,2409.114,tr
278,4328333.159,988264.22,2409.142,tr
279,4328333.682,988263.95,2408.95,tr
280,4328334.065,988263.771,2408.838,tr
281,4328334.63,988263.507,2408.78,tr
282,4328335.429,988263.033,2408.184,tr
283,4328335.884,988262.798,2407.996,tr
284,4328336.399,988262.614,2407.895,tr
285,4328336.894,988262.384,2407.8,tr
286,4328337.493,988262.24,2407.691,tr
287,4328337.951,988262.026,2407.626,tr
288,4328338.622,988261.61,2407.551,tr
289,4328337.076,988262.205,2405.809,tr
290,4328339.645,988261.2,2407.507,tr
291,4328340.398,988260.934,2407.417,tr
292,4328341.084,988260.571,2407.34,tr
293,4328341.687,988260.195,2407.315,tr
294,4328342.195,988259.959,2407.396,tr
295,4328342.907,988259.744,2407.39,tr
296,4328343.654,988259.326,2407.357,tr
297,4328344.21,988259.055,2407.394,tr
298,4328344.922,988258.729,2407.456,tr
299,4328345.589,988258.409,2407.527,tr
300,4328346.311,988258.088,2407.509,tr
301,4328346.968,988257.812,2407.5,tr
