"SID","sedstorage_y2025_m3","sedstorage_ci_hi_y2025_m3","sedstorage_ci_lo_y2025_m3"
291774,77465.9185371837,106079.28,7919.48878263187
291776,53644.6664661835,123348,5489.80169099278
291777,41332.5112036076,185022,4263.87909099137
291780,79850.4446547932,123348,8208.10752014736
302998,4972543.24384102,48282533.438735,512114.517421578
303000,506023.841658808,1630660.56,51869.9466289714
303004,52243.5105253667,61674,5346.56549734248
303006,234273.633059661,493392,24025.0791593017
303007,3324865.37311698,23781494.4,341883.424331824
303008,239158.285309694,678414,24381.4791654454
303009,195064.093158368,407048.4,19993.7748129161
303018,50343.8655638722,99911.88,5094.434376052
303031,122440.703418386,795594.6,12558.4160913438
303032,806719.634045316,4995594,83443.4684028995
303063,1428510.81853511,4440528,146860.888560234
303065,154123.808038218,445286.28,15790.1062222518
303066,1374053.84418775,2960352,141618.569088978
303071,16663.2168182848,72775.32,1704.98600822625
303073,52105.903236049,139383.24,5350.96735301319
303074,60300.4439307247,215859,6189.78142090233
303075,181349.831252365,1396299.36,18627.9143595101
303076,62718.1318947202,87577.08,6453.7843645328
303077,105692.791885755,173920.68,10887.0208075235
303078,315637.062351866,3058392.26855373,32574.8780346048
303079,43738.1760248561,196123.32,4502.69424850786
303081,176306.138093799,1709635.00948468,18181.5733516823
303087,128412.628392943,279999.96,13111.0761338348
303088,132030.211690449,233127.72,13590.3521571475
303089,418994.648777172,978149.64,43213.5237834437
303090,154296.007596921,308370,15934.5777218846
303093,173936.910848072,244229.04,17877.1928669232
303094,37153.35661907,362674.776689598,3806.0874281456
303099,621117.211205323,5999365.77070147,64304.5623154879
303100,631343.674875907,1338325.8,65279.4215626176
303101,204453.745922066,666079.2,20533.8959387987
303104,136709.961778333,315770.88,14094.679873154
303107,8072.81112154552,66607.92,830.133342497316
303108,166010.485658128,262731.24,17104.9197304783
303111,31313.7645310858,309072.491634912,3172.56266942885
303113,22670914.5572178,55506600,2337986.87295895
303115,877653.926436969,6802642.2,89856.1271951887
303132,32224.7663465035,183788.52,3315.49417906555
303133,149096.103366797,1444531.6799941,15388.8269444207
303139,19228781.5496823,129022008,1979156.41579556
303142,36437.0827976977,181321.56,3726.56025606936
303158,173295.32894872,1615858.8,17684.2260445602
303160,4859272.0258526,47150858.8187112,500786.734596303
303161,187585.806959,1827308.8874264,19256.9713936098
303162,200604.059371941,693215.76,20659.3852204102
303163,194096.466941782,690748.8,19988.092002909
303165,103640.55431098,604405.2,10666.1198655454
303167,52552.7103611223,462555,5408.91850770589
303171,1868668.65195512,11820438.84,191968.09408042
303172,60800.5621654724,259030.8,6217.8197829706
303173,554045.969492595,5405940.77139163,56783.2592497991
303174,57581.8337222364,564992.565173215,5868.51540922272
303176,239887.52123213,296035.2,24571.4377072676
303184,463387.458075362,1338325.8,47898.2473907198
303186,191004.298556978,296035.2,19697.7639041176
303187,12429592.9499046,93867828,1284542.10759565
303189,31132.5041704668,123348,3177.17194576685
303191,42048.8109178424,149251.08,4335.55639621014
303192,35430.4633731349,135682.8,3651.65380680557
303195,172441.714067851,1666338.34840922,17845.2021938079
303200,22264.6218822934,61674,2275.69119852867
303201,16278.7932148465,43171.8,1646.06653503881
303202,361711.770155142,3524532.09303332,37121.354328814
303203,65559.4798810139,146784.12,6772.22146866308
303205,57088.2574558133,81409.68,5855.72920112453
303219,25332.2521226207,61674,2602.00788701478
303221,123565.292074667,215859,12727.9953637244
303222,438405.025950854,1393832.4,45274.1655678698
303225,62585.3194160268,122114.52,6461.22595621245
303227,20793.4969901172,201918.519347503,2141.30689188496
303236,25161.535124544,44405.28,2581.3195438385
303237,73502.6415257569,148017.6,7569.6651146027
303247,50095.7109659647,485680.243595138,5167.14503066643
303249,125033.13265645,1210366.75852702,12916.1546710939
303251,187243.661042344,1809282.28988817,19377.9537866958
303253,11780.9520290969,24669.6,1212.30418902603
303254,16813.1968210458,37004.4,1731.00222977874
303257,70754.572957006,92511,7245.61174482039
303262,34610.5388866286,82643.16,3565.69773584026
303274,16629.2790641156,161345.617470745,1713.91653846672
303276,54751.2191852042,529934.272223194,5656.73171068982
303277,37498.9789675271,99048.444,3873.47781815553
303298,12942.1359114366,24669.6,1326.60283336834
303310,14951.6879573178,23436.12,1517.68469338107
303311,10470.5944499459,19735.68,1078.42041473232
303313,8680.45069853069,62414.088,878.80714386372
303318,17339.3118892707,81409.68,1790.81894662446
303320,54030.9953186358,522705.020535165,5585.07827633547
303332,80590.8145247364,160352.4,8306.83459211749
303336,49476.1694121914,171453.72,5112.08158967354
329312,232317.682404012,2220264,23927.8269000991
329313,2121196.19319068,15387663,218848.926111821
329317,1211355.25516553,7968280.8,120775.46008856
329318,1035228.91239467,4526871.6,106879.495099803
329322,73631.0915650658,101145.36,7564.95592958349
329324,107167.048695886,1051001.03598218,10927.4643249553
329325,37677.0493404803,371950.624380042,3816.52820013698
329326,187485.605216674,421850.16,19271.2590915685
329327,82169.0446479786,131982.36,8456.1280824339
329335,219740.342993188,308370,22630.6166637173
329337,435719.886779996,709251,44964.3992834486
329338,106400.069636805,298502.16,10938.3923950982
329339,290952.55644071,604405.2,29942.0656769833
329340,93494.4286138002,358942.68,9612.74036696435
329341,256255.751910207,641409.6,26428.0626504934
329342,109174.662896173,194889.84,11235.986716112
329352,243144.770975168,2368408.07778235,24961.6525999705
329393,1376953.11542637,12211452,141617.237264089
329394,1394928.21335537,13554247.7527145,143558.296698917
329404,95687.6682823365,152951.52,9834.53025893084
329436,527979.902075486,4132158,54522.3027168408
329437,36377.6573150817,66607.92,3742.6414761015
329447,62523.9646241038,97444.92,6367.05762247755
329448,73449.0953342027,117180.6,7543.69435408631
329449,274393.248562266,720352.32,28279.1441293668
329450,113120.866027813,176387.64,11643.8653390548
329463,20042.4859008861,53039.64,2027.0277366648
329464,25734.781957175,134449.32,2479.59545977372
329465,170529.954430449,307136.52,17227.2561801829
329466,8671488.34089814,30158586,878005.390783191
329524,102988.867921844,191189.4,10573.5706385965
329540,17934.8211806609,86343.6,1836.87926988534
329541,38677.8353192767,229427.28,3946.55704234632
329542,27609.0147812318,247929.48,2817.74336484082
329544,101788.818392784,994391.765409459,10419.3979779517
329546,81849.5775173242,130748.88,8434.06762328518
329569,490512.919722069,1443171.6,50290.8204562413
329570,16736.1884257351,43171.8,1692.48867472467
329571,28933.1358809227,53039.64,2946.0050387571
329581,48005.5559995762,76475.76,4934.58221168289
329624,73465.3513426489,222026.4,7554.95132840217
329663,64011.1476000834,624886.627608022,6557.07265294511
329669,75285.3227154414,732364.771152521,7739.14863142396
329670,146928.72568939,349074.84,15105.343667069
329671,135550.771379245,980616.6,13975.6550529918
329673,102897.871373416,425550.6,10599.4166081825
329675,118648.699920482,250396.44,12246.805520712
329688,40988.6755281089,74008.8,4190.94270518407
329696,260328.285552899,2527245.94150629,26816.0748211623
329697,862722.590160626,8393256.40844201,88677.1750264709
329698,1356221.59540939,10663434.6,139254.658829196
329700,46372.9506797129,117180.6,4765.86552581328
329702,2189633.3105777,21274008.6848084,225368.622614841
329703,413013.256419987,4015595.86703772,42479.3618747491
329704,742105.538754632,7230150.49489668,76170.0093295461
329705,541703.885761524,5273245.61681773,55647.5311738314
329706,99063.0316847635,342044.004,10206.9711342063
329707,84908.6672614179,181938.3,8719.87246477374
329726,146933.641215749,1425430.4951177,15145.9471330699
329817,77247.7861328755,208458.12,7901.9583047701
329818,57390.883314987,177621.12,5872.91060261387
329819,123132.738206342,593303.88,12568.9042046038
329821,59209.7255790042,256563.84,6029.78426925348
329822,89249.357838219,874194.212690379,9111.76001728537
329826,59552.1145193596,139383.24,6121.3362665248
329828,87273.5312668204,727753.2,8959.45970071154
329830,206762.518216885,246696,21177.9015843644
329835,64422.2750930084,414449.28,6556.22830948808
329836,44828.0570183538,111013.2,4555.92403450887
329839,307507.721211238,493392,31517.2433169649
329844,141414.770472456,213392.04,14507.0536200315
329845,145664.891417566,230660.76,14944.0996956402
329846,354141.586715306,666079.2,36525.5825035913
329847,238083.417565927,335506.56,24502.5218047394
329848,170629.822397179,294801.72,17536.9625579261
329850,206640.561493525,370044,21208.109398402
329851,171106.790985933,355242.24,17619.6316785116
329852,231390.568874823,357709.2,23728.9630892884
329853,44592.6650919501,76475.76,4585.03048134904
329854,153616.397820511,273832.56,15761.4310717557
329858,84368.3893904294,222026.4,8676.70874444253
329859,100148.873976825,185022,10342.5486485475
329984,181739.454046125,1775766.80496184,18599.9811826042
329989,18753.0792767773,57973.56,1908.32302265699
329992,134169.450981784,267665.16,13755.3494457789
329993,66690.4853358451,139383.24,6786.73645203884
329994,107021.320602878,162819.36,11020.8752853298
329995,41898.1536406832,62907.48,4298.89941514981
329996,40406.3588385168,62907.48,4161.24739557772
329997,92017.5513430997,152951.52,9450.35721346138
329998,127698.671360441,235594.68,13173.4692969508
329999,138414.798918104,246696,14240.4347304231
330001,96052.4155501605,435418.44,9817.86700333109
330002,155786.555333245,281233.44,16014.3253594074
330003,102981.29364047,165286.32,10565.098661068
330006,41405.7806215016,317004.36,4230.57022625217
330012,197481.106813122,458854.56,20331.5941711283
330014,40997.3985565124,93744.48,4184.15707818004
330015,109316.888179545,299735.64,11160.7460229722
330022,12915.3684638984,127421.022434348,1309.09907463823
330023,50877.4018506724,497525.453546045,5202.76902543487
330024,359610.080092115,555066,36796.316643719
330025,78688.5456175452,257797.32,8096.51027593236
330027,66917.7805221074,173797.332,6882.99796443215
330028,48369.480598605,71541.84,4979.32122090706
330030,38096.2481857861,271365.6,3902.00846732017
330031,114678.571878806,425550.6,11699.0445293922
330032,231487.967565968,1279118.76,23665.267219389
330033,72779.2241759445,222026.4,7440.58740488249
330034,48620.2632023535,185022,4970.30871012131
330035,64942.5442757481,635463.629824524,6636.94011594672
330037,407133.978403651,616740,41646.9252825492
330038,482425.428233134,3582025.92,49267.4156425864
330040,164533.768015198,1616449.04522722,16747.4260306631
330070,51392.4168575328,94977.96,5262.24678810625
330071,89966.0561099428,826431.6,9149.25133825744
330072,149899.363052995,241762.08,15458.5537127148
330073,23929.0135316941,43171.8,2449.26072216137
330074,10745.9736797081,105213.184308625,1097.54258540687
330075,210119.883981697,330572.64,21676.8998718263
330076,153542.242747768,355242.24,15848.7883378896
330077,39327.7344894981,66607.92,4035.99906882317
330078,59938.7145341998,114713.64,6169.32627883358
330080,106833.039027874,521762.04,10982.5918339036
330082,116131.970705974,185022,11951.8511160489
330083,24329.2175834139,154185,2493.07574858236
330084,9299.30376478154,87577.08,950.204228492827
330105,427084.461465775,2355946.8,44045.0870982087
330106,44820.4379219728,83876.64,4597.81890328897
330107,63351.0720001317,107312.76,6499.78197420441
330108,24617.8912211269,55506.6,2500.51654720734
330110,39216.7041832289,69074.88,4020.56243594682
330112,59948.5544271596,101145.36,6167.08358076118
330113,29502.4320014146,171453.72,3014.8451781856
330114,29300.0111601531,64140.96,3005.47890463114
330161,208580.928975238,2041379.87735483,21312.0568174442
330164,35215.8182239111,256563.84,3589.45677193909
330165,37916.3182583322,154185,3878.83496172299
330171,43847.34131056,76475.76,4495.65944875321
330173,32019.9813626412,70308.36,3296.50635270576
330174,66659.0048697429,112246.68,6865.45546128097
330176,129646.32820294,217092.48,13330.7496396854
330179,41456.2288462154,61674,4266.30789174888
330181,51322.8971522352,499929.444,5250.53990629895
330182,165987.407130491,282466.92,17125.7901551784
330183,43050.3506308148,65374.44,4432.63272603702
330185,66505.8383586221,178854.6,6862.45782061909
330186,22472.7312471123,136916.28,2303.55299519016
330187,89875.4882507408,150484.56,9271.89086193527
330188,92364.7062849619,277533,9521.13381470728
330195,78119.0232447041,180088.08,7996.97646395408
330205,60464.7439760385,587259.566709938,6225.50141595848
330206,60236.9697441905,351541.8,6197.91315009984
330207,153369.982609064,801762,15813.9975684603
330210,51170.308854535,58960.344,5226.55434967185
330211,80937.5831398263,765991.08,8255.14717900481
330213,177811.91438906,1060792.8,18197.8556925534
330214,170354.196548356,1605990.96,17605.4360781753
330229,20362.3012646039,86343.6,2027.62547060613
330254,78270.2303678527,183788.52,8049.27255532256
330258,530898.758023033,1048458,54872.6517083056
330265,79238.1648836845,771980.472251968,8133.21968600866
330269,100638.986797721,213392.04,10349.380748376
330278,109765.33415897,183788.52,11300.5561269864
330634,6505.14779659337,48105.72,659.395744477508
330755,27721.4608342849,150484.56,2819.23434468521
330757,51297.8983183981,503309.840695154,5228.3388066687
330921,41717.3984973987,168986.76,4266.93535448606
331600,161034.548164477,296035.2,16551.1105049114
331601,44259.9373123743,64140.96,4555.23146213198
331649,60560.8866078521,106079.28,6247.49633875428
331651,27305.4278948796,66607.92,2780.35111472106
331652,124461.848873744,191189.4,12764.8268222603
331654,63481.2746597725,120881.04,6489.20237824909
331656,54119.0614861228,82643.16,5554.46120352313
331659,26502.002713217,43171.8,2722.03823928505
331660,27112.2886067146,106079.28,2778.99778288047
331664,83568.7566151938,178854.6,8537.24637968912
331665,291421.857522285,387312.72,29799.2092543255
331694,89710.6222948659,118414.08,9212.77552921383
331695,51662.3834003472,96211.44,5288.91361672853
331696,78594.546038661,108546.24,8015.21825713443
331697,214992.588677679,351541.8,22122.3650647994
331708,123308.021540787,233127.72,12686.8413846343
