,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
20,20,21,,468385.7,4313371.04,2421.731,,-105.36493493,38.96874077,2407.705,Global,0.01,0.012,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 10:57:47.8 UTC-06:00,2025-07-11 10:57:50.8 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.158,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,5,8,6,0,4313369.957,468386.788,2418.3810000000003,POINT Z (468386.788 4313369.957 2418.3810000000003)
21,21,22,,468385.525,4313371.163,2421.697,,-105.36493696,38.96874187,2407.671,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:57:59.6 UTC-06:00,2025-07-11 10:58:02.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.337,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.08,468386.613,2418.347,POINT Z (468386.613 4313370.08 2418.347)
22,22,23,,468385.345,4313371.208,2421.644,,-105.36493903,38.96874227,2407.618,Global,0.01,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:58:11.0 UTC-06:00,2025-07-11 10:58:14.0 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.431,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.125,468386.43299999996,2418.294,POINT Z (468386.43299999996 4313370.125 2418.294)
23,23,24,,468385.167,4313371.268,2421.609,,-105.36494109,38.96874281,2407.583,Global,0.012,0.012,0.01,0.017,1.734,m,FIX,RTK,2025-07-11 10:58:20.8 UTC-06:00,2025-07-11 10:58:23.8 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.559,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.1850000005,468386.255,2418.259,POINT Z (468386.255 4313370.1850000005 2418.259)
24,24,25,,468384.953,4313371.356,2421.564,,-105.36494356,38.96874359,2407.538,Global,0.01,0.013,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 10:58:31.6 UTC-06:00,2025-07-11 10:58:34.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.684,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.273,468386.04099999997,2418.214,POINT Z (468386.04099999997 4313370.273 2418.214)
25,25,26,,468384.802,4313371.456,2421.544,,-105.36494531,38.96874448,2407.518,Global,0.013,0.011,0.011,0.017,1.734,m,FIX,RTK,2025-07-11 10:58:42.6 UTC-06:00,2025-07-11 10:58:45.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.846,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.373000001,468385.89,2418.194,POINT Z (468385.89 4313370.373000001 2418.194)
26,26,27,,468384.608,4313371.517,2421.504,,-105.36494756,38.96874503,2407.478,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-11 10:58:55.0 UTC-06:00,2025-07-11 10:58:58.0 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,74.968,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.434,468385.696,2418.154,POINT Z (468385.696 4313370.434 2418.154)
27,27,28,,468384.408,4313371.581,2421.455,,-105.36494987,38.9687456,2407.429,Global,0.011,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:59:05.6 UTC-06:00,2025-07-11 10:59:08.6 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.092,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.498000001,468385.496,2418.105,POINT Z (468385.496 4313370.498000001 2418.105)
28,28,29,,468384.291,4313371.703,2421.427,,-105.36495122,38.9687467,2407.401,Global,0.015,0.011,0.01,0.018,1.734,m,FIX,RTK,2025-07-11 11:00:49.2 UTC-06:00,2025-07-11 11:00:52.2 UTC-06:00,16,1.2,1.4,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.25,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.62,468385.379,2418.077,POINT Z (468385.379 4313370.62 2418.077)
29,29,30,,468384.034,4313371.732,2421.397,,-105.36495419,38.96874694,2407.371,Global,0.011,0.011,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 11:00:58.2 UTC-06:00,2025-07-11 11:01:01.2 UTC-06:00,16,1.2,1.4,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.351,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.649,468385.122,2418.047,POINT Z (468385.122 4313370.649 2418.047)
