Name,Code,Easting,Northing,OriginalElevation ,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,
25,,466248.905,4312193.413,2454.593,2434.593,,-105.3895421,38.95804919,2440.602,Global,0.011,0.015,0.01,0.019,1.934,m,FIX,2025-03-31 10:51:53.0 UTC-06:00,2025-03-31 10:51:56.0 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,149.882,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
26,,466248.694,4312193.66,2454.499,2434.499,,-105.3895445,38.95805141,2440.508,Global,0.016,0.012,0.01,0.02,1.934,m,FIX,2025-03-31 10:52:04.4 UTC-06:00,2025-03-31 10:52:07.4 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,150.115,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
27,,466248.512,4312193.803,2454.484,2434.484,,-105.3895466,38.95805269,2440.494,Global,0.012,0.011,0.01,0.016,1.934,m,FIX,2025-03-31 10:52:22.0 UTC-06:00,2025-03-31 10:52:25.0 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,150.239,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
28,,466248.347,4312193.946,2454.487,2434.487,,-105.3895485,38.95805397,2440.497,Global,0.01,0.011,0.011,0.015,1.934,m,FIX,2025-03-31 10:52:34.8 UTC-06:00,2025-03-31 10:52:37.8 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,150.358,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
29,,466248.312,4312194.167,2454.498,2434.498,,-105.3895489,38.95805596,2440.508,Global,0.015,0.013,0.01,0.02,1.934,m,FIX,2025-03-31 10:53:08.6 UTC-06:00,2025-03-31 10:53:11.6 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,150.576,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
30,,466248.192,4312194.297,2454.497,2434.497,,-105.3895503,38.95805713,2440.506,Global,0.01,0.013,0.012,0.017,1.934,m,FIX,2025-03-31 10:53:16.8 UTC-06:00,2025-03-31 10:53:19.8 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,150.677,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
31,,466248.038,4312194.436,2454.494,2434.494,,-105.3895521,38.95805838,2440.503,Global,0.011,0.013,0.01,0.017,1.934,m,FIX,2025-03-31 10:53:25.6 UTC-06:00,2025-03-31 10:53:28.6 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,150.812,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
32,,466247.831,4312194.494,2454.483,2434.483,,-105.3895545,38.9580589,2440.492,Global,0.014,0.013,0.01,0.019,1.934,m,FIX,2025-03-31 10:53:34.4 UTC-06:00,2025-03-31 10:53:37.4 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,150.84,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
33,,466247.761,4312194.68,2454.489,2434.489,,-105.3895553,38.95806057,2440.498,Global,0.011,0.012,0.01,0.016,1.934,m,FIX,2025-03-31 10:53:44.8 UTC-06:00,2025-03-31 10:53:47.8 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,151.004,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
34,,466247.663,4312194.913,2454.513,2434.513,,-105.3895565,38.95806266,2440.522,Global,0.02,0.011,0.011,0.023,1.934,m,FIX,2025-03-31 10:54:05.0 UTC-06:00,2025-03-31 10:54:08.0 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,151.229,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
