siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO21,NA1812OW,"1979-12-18 16:00","1980-01-01 16:00",197912,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000,<,-9.000," ",-9.000,0,-9,60.600,29.720,29.720,"  ","e           ",1988-09-19
CO21,NA1874OW,"1980-01-01 16:00","1980-01-08 16:00",198001,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA1908OW,"1980-01-08 16:00","1980-01-15 16:00",198001,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,8.500,1.780,1.780,"  ","v           ",1985-06-06
CO21,NA1946OW,"1980-01-15 16:00","1980-01-22 16:00",198001,4.790,13.100," ",.310," ",.065," ",.067," ",.207," ",.300," ",2.200," ",.340," ",.750,0,-9,55.800,6.860,6.860,"w ","            ",1985-06-04
CO21,NA1982OW,"1980-01-22 16:00","1980-01-29 16:00",198001,-9.000,-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.760,.760,"  ","vx          ",1985-11-20
CO21,NA2018OW,"1980-01-29 16:00","1980-02-05 16:00",198002,-9.000,-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA2094OW,"1980-02-05 16:00","1980-02-12 16:00",198002,5.930,11.300," ",.160," ",.026," ",.012," ",2.012," ",.030," ",1.400," ",.320," ",1.500,0,-9,207.200,10.410,10.410,"w ","            ",1985-06-04
CO21,NA2096OW,"1980-02-12 16:00","1980-02-19 16:00",198002,-9.000,-9.000,<,-9.000,<,-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA2135OW,"1980-02-19 16:00","1980-02-26 16:00",198002,-9.000,-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,2.540,2.540,"  ","v           ",1985-11-20
CO21,NA2181OW,"1980-02-26 16:00","1980-03-04 16:00",198002,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,4.200,1.780,1.780,"  ","v           ",1985-06-06
CO21,NA2217OW,"1980-03-04 16:00","1980-03-11 16:00",198003,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.300,4.320,4.320,"  ","v           ",1985-06-06
CO21,NA2262OW,"1980-03-11 16:00","1980-03-18 16:00",198003,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,-7.000,.127,"t ","            ",1986-01-17
CO21,NA2365OW,"1980-03-18 16:00","1980-04-01 16:00",198003,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000,<,-9.000," ",-9.000,0,-9,28.600,17.270,17.270,"  ","e           ",1988-09-20
CO21,NA2391OW,"1980-04-01 16:00","1980-04-08 16:00",198004,4.370,22.200," ",.270," ",.041," ",.018," ",.214," ",.240," ",3.500," ",.170," ",1.080,0,-9,224.500,5.840,5.840,"w ","            ",1985-06-04
CO21,NA2449OW,"1980-04-08 16:00","1980-04-15 16:00",198004,6.330,13.800," ",.990," ",.139," ",.073," ",.760," ",.250," ",2.330," ",.340," ",2.450,0,-9,347.800,10.410,10.410,"w ","            ",1985-06-04
CO21,NA2483OW,"1980-04-15 16:00","1980-04-22 16:00",198004,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000,<,-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA2536OW,"1980-04-22 16:00","1980-04-29 15:00",198004,5.700,5.500," ",.250," ",.038," ",.019," ",.028," ",.200," ",1.140," ",.170," ",.660,0,-9,2692.700,52.320,52.320,"w ","            ",1985-06-04
CO21,NA2588OW,"1980-04-29 15:00","1980-05-06 15:00",198005,5.810,6.300," ",.150," ",.029," ",.100," ",.047," ",.430," ",.910," ",.150," ",.920,0,-9,2482.600,38.350,38.350,"w ","            ",1985-06-04
CO21,NA2651OW,"1980-05-06 15:00","1980-05-13 15:00",198005,4.900,7.500," ",.120," ",.024," ",.007," ",.090," ",.090," ",.730," ",.070," ",.650,0,-9,1822.400,25.910,25.910,"w ","            ",1985-06-04
